TITLE;04072024 MDH SAXS
DATA TYPE;ULTRAVIOLET SPECTRUM
ORIGIN;JASCO
OWNER;
DATE;24/10/28
TIME;15:57:32
SPECTROMETER/DATA SYSTEM;
LOCALE;1036
RESOLUTION;
DELTAX;-1
XUNITS;NANOMETERS
YUNITS;ABSORBANCE
FIRSTX;  800,0000
LASTX;  250,0000
NPOINTS;     551
FIRSTY;    -0,01516
MAXY;     0,63047
MINY;    -0,01814
XYDATA
583,0000;0,0934787
582,0000;0,109301
581,0000;0,126486
580,0000;0,144881
579,0000;0,164306
578,0000;0,184456
577,0000;0,20499
576,0000;0,225481
575,0000;0,245458
574,0000;0,264432
573,0000;0,282017
572,0000;0,297823
571,0000;0,311583
570,0000;0,32303
569,0000;0,33206
568,0000;0,338623
567,0000;0,342726
566,0000;0,344499
565,0000;0,344082
564,0000;0,341685
563,0000;0,337525
562,0000;0,331847
561,0000;0,324926
560,0000;0,317033
559,0000;0,308407
558,0000;0,299219
557,0000;0,289657
556,0000;0,279874
555,0000;0,270043
554,0000;0,260273
553,0000;0,250698
552,0000;0,241383
551,0000;0,232383
550,0000;0,223739
549,0000;0,215479
548,0000;0,207656
547,0000;0,200318
546,0000;0,19353
545,0000;0,187327
544,0000;0,181744
543,0000;0,176787
542,0000;0,17249
541,0000;0,16885
540,0000;0,16585
539,0000;0,163459
538,0000;0,161608
537,0000;0,16026
536,0000;0,159326
535,0000;0,158704
534,0000;0,158295
533,0000;0,15798
532,0000;0,157661
531,0000;0,157255
530,0000;0,156706
529,0000;0,155921
528,0000;0,154841
527,0000;0,153402
526,0000;0,151576
525,0000;0,149324
524,0000;0,146624
523,0000;0,143515
522,0000;0,140017
521,0000;0,136186
520,0000;0,132075
519,0000;0,127723
518,0000;0,123158
517,0000;0,118439
516,0000;0,113612
515,0000;0,108739
514,0000;0,103876
513,0000;0,0990324
512,0000;0,0942845
511,0000;0,089641
510,0000;0,0851627
509,0000;0,0808646
508,0000;0,0767375
507,0000;0,0728187
506,0000;0,069094
505,0000;0,0655923
504,0000;0,0622935
503,0000;0,059188
502,0000;0,056303
501,0000;0,0536507
500,0000;0,0513431
499,0000;0,0490325
498,0000;0,0468859
497,0000;0,0448889
496,0000;0,0430147
495,0000;0,0412372
494,0000;0,0395241
493,0000;0,0378935
492,0000;0,0363004
491,0000;0,0347778
490,0000;0,0332612
489,0000;0,0317637
488,0000;0,0302549
487,0000;0,028758
486,0000;0,0272366
485,0000;0,0257132
484,0000;0,0241723
483,0000;0,0226292
482,0000;0,02107
481,0000;0,0195055
480,0000;0,0179361
479,0000;0,0163907
478,0000;0,0148769
477,0000;0,0134027
476,0000;0,0119701
475,0000;0,0105808
474,0000;0,00924646
473,0000;0,00799152
472,0000;0,0067956
471,0000;0,00569295
