Wavelength (nm),Absorbance
469,0.0036525545241868538
470,0.005720322994490982
471,0.008240887480190175
472,0.010746358765376197
473,0.013251830050562222
474,0.015757301335748247
475,0.01827786582144744
476,0.02078333710663346
477,0.023288808391819484
478,0.025839559278545015
479,0.028858199381178784
480,0.03187683948381254
481,0.03488038638593314
482,0.037899026488566905
483,0.040902573390687494
484,0.04392121349332126
485,0.046924760395441856
486,0.05235831258018263
487,0.05838049958493699
488,0.06440268658969135
489,0.0704248735944457
490,0.07644706059920006
491,0.08246924760395442
492,0.08849143460870879
493,0.09504188363142405
494,0.10207531507056071
495,0.10909365330918422
496,0.11612708474832088
497,0.12314542298694438
498,0.13017885442608104
499,0.13719719266470454
500,0.14407969209870955
501,0.15046411591577996
502,0.15684853973285035
503,0.16323296354992076
504,0.16963248056750435
505,0.17601690438457476
506,0.18240132820164517
507,0.18878575201871556
508,0.19616632706965514
509,0.20674666062938646
510,0.21734208738963096
511,0.22793751414987548
512,0.23853294091012003
513,0.24912836767036453
514,0.25972379443060906
515,0.2716474228360124
516,0.2841898724624557
517,0.2967474152894121
518,0.3092898649158554
519,0.3218474077428119
520,0.33438985736925514
521,0.34747566221417253
522,0.3606520262621689
523,0.3738283903101653
524,0.38700475435816173
525,0.400181118406158
526,0.4133876688551808
527,0.42789223454833597
528,0.4423817070409781
529,0.45688627273413324
530,0.47137574522677533
531,0.48588031091993056
532,0.5003697834125727
533,0.5144215530903329
534,0.5279752471511584
535,0.541528941211984
536,0.5550826352728097
537,0.5686363293336352
538,0.5821900233944608
539,0.5957286242547732
540,0.6091917591125198
541,0.6222322843558977
542,0.6352879027997888
543,0.6483284280431666
544,0.6613840464870576
545,0.6744245717304355
546,0.6874801901743265
547,0.7005207154177043
548,0.7142706210852011
549,0.7280658063542375
550,0.7418609916232738
551,0.7556712700928231
552,0.7694664553618595
553,0.7833823862350011
554,0.7984454003471436
555,0.8134933212587729
556,0.8285563353709154
557,0.8436042562825448
558,0.8554524186853822
559,0.8660478454456267
560,0.8766583654063844
561,0.8872537921666289
562,0.8978492189268735
563,0.908444645687118
564,0.9186929288355596
565,0.9272356803260131
566,0.9357633386159536
567,0.9442909969058939
568,0.9528186551958343
569,0.9613614066862879
570,0.9698890649762282
571,0.9784167232661686
572,0.9814655497698288
573,0.9837748094483436
574,0.9860991623273716
575,0.9884084220058863
576,0.9907327748849145
577,0.9930420345634292
578,0.9953663874424572
579,0.997675647120972
580,1.0
581,0.9987774507584334
582,0.9926496113500869
