x,y
400.0,0.0
401.0,0.00041605513867894054
402.0,0.0010262327232839453
403.0,0.00163641030788895
404.0,0.0022465878924939546
405.0,0.0028567654770989596
406.0,0.003441901348334449
407.0,0.003960551366461267
408.0,0.004479201384588086
409.0,0.004997851402714904
410.0,0.005516501420841723
411.0,0.006035151438968541
412.0,0.0065538014570953596
413.0,0.008037893890934069
414.0,0.009616391856776358
415.0,0.011194889822618648
416.0,0.012773387788460938
417.0,0.014351885754303228
418.0,0.01593038372014552
419.0,0.017508881685987805
420.0,0.01917665623410774
421.0,0.020905491262683873
422.0,0.02263432629126001
423.0,0.024363161319836145
424.0,0.026091996348412277
425.0,0.027820831376988413
426.0,0.02954966640556455
427.0,0.03127850143414068
428.0,0.033214500565760356
429.0,0.03515943689064063
430.0,0.03710437321552091
431.0,0.039049309540401186
432.0,0.04099424586528146
433.0,0.04293918219016174
434.0,0.04488411851504201
435.0,0.04713249888931137
436.0,0.0500156353785819
437.0,0.052898771867852426
438.0,0.055781908357122954
439.0,0.05866504484639348
440.0,0.06154818133566402
441.0,0.06388453317803516
442.0,0.06585182789513998
443.0,0.06781912261224478
444.0,0.06978641732934959
445.0,0.0717537120464544
446.0,0.07372100676355921
447.0,0.07568830148066401
448.0,0.07765559619776882
449.0,0.07962289091487362
450.0,0.0817868663309848
451.0,0.08428406588757995
452.0,0.0867812654441751
453.0,0.08927846500077025
454.0,0.0917756645573654
455.0,0.09427286411396055
456.0,0.0967700636705557
457.0,0.09926726322715085
458.0,0.101764462783746
459.0,0.10681475877985241
460.0,0.11257870748916099
461.0,0.11834265619846956
462.0,0.12410660490777814
463.0,0.12987055361708671
464.0,0.1356345023263953
465.0,0.14139845103570386
466.0,0.14716239974501247
467.0,0.15296634535961112
468.0,0.1589386733636371
469.0,0.16491100136766307
470.0,0.17088332937168904
471.0,0.17685565737571501
472.0,0.182827985379741
473.0,0.18880031338376696
474.0,0.19477264138779293
475.0,0.2007449693918189
476.0,0.20671729739584488
477.0,0.21268962539987088
478.0,0.21894787226353465
479.0,0.22533246980460742
480.0,0.2317170673456802
481.0,0.238101664886753
482.0,0.24448626242782578
483.0,0.2508708599688986
484.0,0.25725545750997136
485.0,0.26364005505104415
486.0,0.2712910312350424
487.0,0.2806761335511434
488.0,0.29006123586724447
489.0,0.2994463381833455
490.0,0.30883144049944655
491.0,0.31821654281554757
492.0,0.32760164513164863
493.0,0.3381726756605081
494.0,0.3491576718494116
495.0,0.3601426680383151
496.0,0.3711276642272186
497.0,0.3821126604161221
498.0,0.3948127407853431
499.0,0.4109486287114726
500.0,0.4270845166376021
501.0,0.4434927074319764
502.0,0.4602082278205979
503.0,0.4769237482092194
504.0,0.4983311280052199
505.0,0.5227816118014869
506.0,0.544036914751364
